batch,beat_start,beat_duration,pitch_midi,velocity,section
R3,226.0,1.0,69,83,bloom
R1,227.0,1.5,62,84,bloom
R3,227.0,1.0,69,83,bloom
R2,228.0,1.0,72,83,bloom
R3,228.0,1.0,69,83,bloom
R2,229.0,1.0,72,83,bloom
R3,229.0,1.0,69,83,bloom
R1,230.0,1.5,62,84,bloom
R3,230.0,1.0,69,83,bloom
R2,231.0,1.0,67,83,bloom
R3,231.0,1.0,74,83,bloom
R2,232.0,1.0,65,83,bloom
R1,233.0,1.5,57,84,bloom
R2,233.0,1.0,69,83,bloom
R3,233.0,1.0,69,83,bloom
R1,234.0,1.5,55,84,bloom
R2,234.0,1.0,72,83,bloom
R3,234.0,1.0,74,83,bloom
R2,235.0,1.0,69,83,bloom
R3,235.0,1.0,69,83,bloom
R2,236.0,1.0,67,83,bloom
R3,236.0,1.0,74,83,bloom
R2,237.0,1.0,72,83,bloom
R1,238.0,1.5,62,84,bloom
R2,238.0,1.0,67,83,bloom
R1,239.0,1.5,57,84,bloom
R1,240.0,1.5,55,69,settling
R2,240.0,1.0,72,68,settling
R3,240.0,1.0,67,68,settling
R1,241.0,1.5,60,69,settling
R2,241.0,1.0,65,68,settling
R3,241.0,1.0,69,68,settling
R3,242.0,1.0,69,68,settling
R1,243.0,1.5,60,69,settling
R2,243.0,1.0,69,68,settling
R3,243.0,1.0,74,68,settling
R1,244.0,1.5,57,69,settling
R3,244.0,1.0,74,68,settling
R1,245.0,1.5,60,69,settling
R2,245.0,1.0,67,68,settling
R1,246.0,1.5,60,69,settling
R3,246.0,1.0,74,68,settling
R2,247.0,1.0,69,68,settling
R3,247.0,1.0,74,68,settling
R1,248.0,0.5989099115856686,62,69,settling
R2,248.0,0.5701272095155488,77,68,settling
R3,248.0,0.9323510156168167,77,68,settling
R1,248.5,0.5989099115856686,65,69,settling
R2,248.5,0.5701272095155488,79,68,settling
R1,249.0,0.5989665702335045,67,62,settling
R2,249.0,0.5701223120867649,79,59,settling
R3,249.0,0.9326766892907911,79,65,settling
R1,249.5,0.5989665702335045,72,62,settling
R2,249.5,0.5701223120867649,79,59,settling
R1,250.0,0.5213879775931365,60,55,settling
R2,250.0,0.4960850832963923,69,50,settling
R1,250.5,0.5213879775931365,50,55,settling
R2,250.5,0.4960850832963923,60,50,settling
R1,251.0,0.5210892261088257,50,49,settling
R2,251.0,0.4959496044246414,57,42,settling
R3,251.0,0.9166363087894891,72,60,settling
R1,252.0,0.5212808270579122,50,49,settling
R2,252.0,0.49606838305859013,57,42,settling
R2,252.5,0.49606838305859013,57,42,settling
R3,253.0,1.0,69,60,settling
R1,254.0,1.0,50,49,settling
R3,254.0,1.0,69,60,settling
R2,255.0,1.0,60,42,settling
R1,256.0,1.0,57,49,settling
R2,256.0,1.0,62,42,settling
R3,256.0,1.0,74,60,settling
R1,257.0,1.0,55,49,settling
R3,257.0,1.0,69,60,settling
R1,258.0,1.0,60,49,settling
R2,258.0,1.0,57,42,settling
R3,258.0,1.0,74,60,settling
R1,260.0,1.0,55,49,settling
R2,260.0,1.0,62,42,settling
R3,260.0,1.0,74,60,settling
R1,261.0,1.0,55,49,settling
R2,261.0,1.0,62,42,settling
R1,262.0,1.0,60,49,settling
R3,262.0,1.0,74,60,settling
R1,263.0,1.0,60,49,settling
R2,263.0,1.0,57,42,settling
R3,263.0,1.0,74,60,settling
R1,264.0,1.0,53,49,settling
R2,264.0,1.0,57,42,settling
R3,264.0,1.0,74,60,settling
R3,265.0,1.0,69,60,settling
R2,266.0,1.0,57,42,settling
R3,266.0,1.0,69,60,settling
R1,267.0,1.0,55,49,settling
R2,267.0,1.0,62,42,settling
R3,267.0,1.0,74,60,settling
R1,268.0,1.0,60,49,settling
R1,269.0,1.0,62,49,settling
R2,269.0,1.0,62,42,settling
R3,269.0,1.0,69,60,settling
R1,270.0,1.0,57,49,settling
R2,270.0,1.0,57,42,settling
R3,270.0,1.0,69,60,settling
R2,271.0,1.0,57,42,settling
R1,272.0,1.0,55,49,settling
R3,272.0,1.0,74,60,settling
R1,273.0,1.0,55,49,settling
R2,273.0,1.0,62,42,settling
R3,273.0,1.0,69,60,settling
R1,274.0,1.0,60,49,settling
R3,274.0,1.0,69,60,settling
R2,275.0,1.0,57,42,settling
R1,276.0,1.0,55,49,settling
R2,276.0,1.0,60,42,settling
R2,277.0,1.0,57,42,settling
R2,278.0,1.0,65,42,settling
R3,278.0,1.0,69,60,settling
R1,279.0,1.0,55,49,settling
R2,279.0,1.0,60,42,settling
R3,279.0,1.0,74,60,settling
R1,280.0,1.0,60,49,settling
R3,280.0,1.0,67,60,settling
R1,281.0,1.0,55,49,settling
R3,281.0,1.0,67,60,settling
R1,282.0,1.0,60,49,settling
R2,282.0,1.0,62,42,settling
R3,282.0,1.0,69,60,settling
R1,283.0,1.0,55,49,settling
R1,284.0,1.0,62,49,settling
R2,286.0,1.0,62,42,settling
R3,286.0,1.0,74,60,settling
R1,287.0,1.0,57,49,settling
R2,287.0,1.0,57,42,settling
R3,287.0,1.0,69,60,settling
R1,288.0,1.0,55,49,settling
R2,288.0,1.0,60,42,settling
R3,288.0,1.0,69,60,settling
R2,289.0,1.0,65,42,settling
R3,289.0,1.0,74,60,settling
R2,290.0,1.0,60,42,settling
R3,290.0,1.0,69,60,settling
R2,291.0,1.0,62,42,settling
R3,291.0,1.0,74,60,settling
R1,292.0,1.0,60,49,settling
R2,292.0,1.0,57,42,settling
R3,292.0,1.0,74,60,settling
R1,293.0,1.0,60,49,settling
R2,293.0,1.0,57,42,settling
R3,293.0,1.0,74,60,settling
R1,294.0,1.0,55,49,settling
R3,294.0,1.0,69,60,settling
R1,295.0,1.0,62,49,settling
R2,295.0,1.0,57,42,settling
R3,295.0,1.0,74,60,settling
R1,296.0,1.0,57,49,settling
R2,296.0,1.0,57,42,settling
R1,297.0,1.0,55,49,settling
R1,298.0,1.0,57,49,settling
R2,298.0,1.0,62,42,settling
R1,299.0,1.0,60,49,settling
R2,299.0,1.0,62,42,settling
R3,299.0,1.0,74,60,settling
